subject_id,cell_ID,filename_nwb,cellType,cellSubtype,mappingRate,seq_batch,predictCluster,predictCluster_label,mainClusterCorrs,morphoTraced
Mfa191122,B112,sub-Mfa191122_ses-sess-191122d1_obj-1f2whdt_icephys.nwb,PC,PC_L5,0.6298,batch-4,8,Exc FEZF2 COL24A1,0.51,traced
Mfa191122,B15,sub-Mfa191122_ses-sess-191122d1_obj-qltwlt_icephys.nwb,PC,PC_L5,0.888,batch-4,8,Exc FEZF2 COL24A1,0.52,traced
Mfa191122,B154,sub-Mfa191122_ses-sess-191122d1_obj-ngfktu_icephys.nwb,PC,PC_L5,0.8732,batch-4,8,Exc FEZF2 COL24A1,0.38,traced
Mfa191122,B224,sub-Mfa191122_ses-sess-191122d1_obj-bo9bwo_icephys.nwb,PC,PC_L5,0.5803,batch-4,8,Exc FEZF2 COL24A1,0.37,traced
Mfa191122,B289,sub-Mfa191122_ses-sess-191122d1_obj-19xxyn1_icephys.nwb,PC,PC_L5,0.8475,batch-4,16,Exc FEZF2 DSG2,0.4,
Mfa191122,B333,sub-Mfa191122_ses-sess-191122d1_obj-j4u2la_icephys.nwb,PC,PC_L5,0.618,batch-4,16,Exc FEZF2 DSG2,0.84,
Mfa191122,B361,sub-Mfa191122_ses-sess-191122d1_obj-pybb1j_icephys.nwb,PC,PC_L5,0.8638,batch-4,16,Exc FEZF2 DSG2,0.81,
Mfa191122,B55,sub-Mfa191122_ses-sess-191122d1_obj-ebcx0g_icephys.nwb,PC,PC_L5,0.8886,batch-4,8,Exc FEZF2 COL24A1,0.46,traced
Mfa191122,B553,sub-Mfa191122_ses-sess-191122d1_obj-1wv9giz_icephys.nwb,VEN,VEN_Long,0.7301,batch-4,16,Exc FEZF2 DSG2,1,traced
Mfa191122,B554,sub-Mfa191122_ses-sess-191122d1_obj-116zblx_icephys.nwb,PC,PC_L5,0.8302,batch-4,6,Exc FEZF2 LTBP3,0.79,
Mfa191122,B555,sub-Mfa191122_ses-sess-191122d2_obj-xqut30_icephys.nwb,PC,PC_L5,0.7412,batch-4,18,Exc FEZF2 MCUB,1,traced
Mfa191122,B556,sub-Mfa191122_ses-sess-191122d2_obj-1qk8ues_icephys.nwb,PC,PC_L23,0.6876,batch-4,5,Exc HPCAL1 FREM3,0.56,
Mfa191122,B557,sub-Mfa191122_ses-sess-191122d2_obj-1wkcn1m_icephys.nwb,PC,PC_L5ET,0.8612,batch-4,16,Exc FEZF2 DSG2,0.92,traced
Mfa191122,B558,sub-Mfa191122_ses-sess-191122d2_obj-x0607t_icephys.nwb,PC,PC_L5,0.6122,batch-4,18,Exc FEZF2 MCUB,0.76,
Mfa191122,B559,sub-Mfa191122_ses-sess-191122d2_obj-1n8qsvz_icephys.nwb,PC,PC_L5,0.6391,batch-4,18,Exc FEZF2 MCUB,0.28,
Mfa191122,B561,sub-Mfa191122_ses-sess-191122d2_obj-1oq9lu0_icephys.nwb,PC,PC_L5,0.8718,batch-4,2,Exc RORB CDK2AP1,0.35,traced
Mfa191122,B562,sub-Mfa191122_ses-sess-191122d2_obj-px4ds6_icephys.nwb,PC,PC_L23,0.4346,batch-4,5,Exc HPCAL1 FREM3,0.35,
Mfa191122,B563,sub-Mfa191122_ses-sess-191122d2_obj-18ng2x7_icephys.nwb,PC,PC_L5,0.8766,batch-4,16,Exc FEZF2 DSG2,0.98,traced
Mfa191122,B564,sub-Mfa191122_ses-sess-191122d2_obj-axgnf6_icephys.nwb,PC,PC_L23,#N/A,batch-4,#N/A,#N/A,#N/A,
Mfa191122,B565,sub-Mfa191122_ses-sess-191122d2_obj-zkyy1i_icephys.nwb,VEN,#N/A,#N/A,batch-4,#N/A,#N/A,#N/A,
Mfa191122,B566,sub-Mfa191122_ses-sess-191122d2_obj-lx2q33_icephys.nwb,PC,PC_L5,0.8101,batch-4,14,Exc RORB NRG1,0.47,traced
Mfa191122,B567,sub-Mfa191122_ses-sess-191122d2_obj-xd8jcs_icephys.nwb,PC,PC_L23,#N/A,batch-4,#N/A,#N/A,#N/A,
Mfa191122,B568,sub-Mfa191122_ses-sess-191122d2_obj-mvxaix_icephys.nwb,PC,PC_L5,0.8294,batch-4,14,Exc RORB NRG1,0.91,
Mfa191122,B569,sub-Mfa191122_ses-sess-191122d2_obj-1wr9q9a_icephys.nwb,PC,PC_L5,0.5004,batch-4,14,Exc RORB NRG1,0.63,traced
Mfa191122,B570,sub-Mfa191122_ses-sess-191122d2_obj-sou0bm_icephys.nwb,PC,PC_L5,0.6144,batch-4,6,Exc FEZF2 LTBP3,0.29,traced
Mfa191122,B571,sub-Mfa191122_ses-sess-191122d2_obj-w00fc6_icephys.nwb,VEN,VEN_Short,0.4089,batch-4,8,Exc FEZF2 COL24A1,1,
Mfa191122,B572,sub-Mfa191122_ses-sess-191122d2_obj-1r4hqoo_icephys.nwb,PC,PC_L23,0.5009,batch-4,5,Exc HPCAL1 FREM3,0.96,
Mfa191122,B716,sub-Mfa191122_ses-sess-191122d3_obj-1fttgzf_icephys.nwb,VEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B717,sub-Mfa191122_ses-sess-191122d3_obj-b36kd7_icephys.nwb,VEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B719,sub-Mfa191122_ses-sess-191122d3_obj-cenwnl_icephys.nwb,VEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B720,sub-Mfa191122_ses-sess-191122d3_obj-vuy93x_icephys.nwb,VEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B721,sub-Mfa191122_ses-sess-191122d3_obj-1e4gzv1_icephys.nwb,VEN,VEN_Long,0.9034,batch-4,16,Exc FEZF2 DSG2,1,traced
Mfa191122,B722,sub-Mfa191122_ses-sess-191122d3_obj-1c5hv0u_icephys.nwb,PC,PC_L5,0.8758,batch-4,16,Exc FEZF2 DSG2,0.84,
Mfa191122,B723,sub-Mfa191122_ses-sess-191122d3_obj-6qjntd_icephys.nwb,PC,PC_L5,0.7522,batch-4,3,Exc FEZF2 RSPO3,0.5,traced
Mfa191122,B724,sub-Mfa191122_ses-sess-191122d3_obj-z0ep08_icephys.nwb,PC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B725,sub-Mfa191122_ses-sess-191122d3_obj-e40agf_icephys.nwb,PC,PC_L5ET,0.6598,batch-4,16,Exc FEZF2 DSG2,0.56,traced
Mfa191122,B726,sub-Mfa191122_ses-sess-191122d3_obj-8oie4j_icephys.nwb,PC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B727,sub-Mfa191122_ses-sess-191122d3_obj-lewm2i_icephys.nwb,PC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B728,sub-Mfa191122_ses-sess-191122d3_obj-xpm0bx_icephys.nwb,PC,PC_L5,0.9002,batch-4,6,Exc FEZF2 LTBP3,0.24,
Mfa191122,B729,sub-Mfa191122_ses-sess-191122d3_obj-1v1wq7l_icephys.nwb,INTER,INTER_L23,0.8826,batch-4,50,Inh PVALB NKX2-1,0.83,
Mfa191122,B730,sub-Mfa191122_ses-sess-191122d3_obj-1ursggg_icephys.nwb,VEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa191122,B733,sub-Mfa191122_ses-sess-191122d3_obj-xc3zsy_icephys.nwb,PC,PC_L5,0.8772,batch-4,18,Exc FEZF2 MCUB,0.57,
Mfa191122,B734,sub-Mfa191122_ses-sess-191122d3_obj-p75b31_icephys.nwb,PC,PC_L5,0.8954,batch-4,14,Exc RORB NRG1,0.75,
Mfa191122,B735,sub-Mfa191122_ses-sess-191122d3_obj-hunhjq_icephys.nwb,PC,PC_L5ET,0.6778,batch-4,16,Exc FEZF2 DSG2,0.74,traced
Mfa220407,n1,sub-Mfa220407_ses-sess-220407d1_obj-ikp5xw_icephys.nwb,PC,PC_L5,0.9099,batch-5,18,Exc FEZF2 MCUB,0.54,
Mfa220407,n10,sub-Mfa220407_ses-sess-220407d1_obj-1ikdhhq_icephys.nwb,PC,PC_L5,0.7385,batch-5,8,Exc FEZF2 COL24A1,0.95,traced
Mfa220419,n100,sub-Mfa220419_ses-sess-220419d2_obj-isceb3_icephys.nwb,INTER,INTER_L5,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa220419,n101,sub-Mfa220419_ses-sess-220419d2_obj-1eq4cat_icephys.nwb,PC,L23_PC,#N/A,batch-5,#N/A,#N/A,#N/A,
Mfa220419,n102,sub-Mfa220419_ses-sess-220419d2_obj-1ios5ac_icephys.nwb,PC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa220419,n103,sub-Mfa220419_ses-sess-220419d2_obj-vhpueh_icephys.nwb,INTER,INTER_L23,0.5487,batch-5,22,Inh SST MME,0.73,traced
Mfa220419,n104,sub-Mfa220419_ses-sess-220419d2_obj-1beehea_icephys.nwb,PC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa220419,n105,sub-Mfa220419_ses-sess-220419d3_obj-51fdvx_icephys.nwb,PC,PC_L5,0.6272,batch-5,13,Exc RORB FAP,0.5,traced
Mfa220419,n106,sub-Mfa220419_ses-sess-220419d3_obj-1d2jklm_icephys.nwb,INTER,INTER_L5,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa220419,n107,sub-Mfa220419_ses-sess-220419d3_obj-1bkayxq_icephys.nwb,PC,#N/A,#N/A,batch-5,#N/A,#N/A,#N/A,
Mfa220419,n108,sub-Mfa220419_ses-sess-220419d3_obj-16u0khc_icephys.nwb,INTER,INTER_L23,0.786,batch-5,39,Inh SNCG PDLIM5,0.9,
Mfa220407,n11,sub-Mfa220407_ses-sess-220407d1_obj-4ts187_icephys.nwb,#N/A,#N/A,#N/A,batch-5,#N/A,#N/A,#N/A,
Mfa220419,n110,sub-Mfa220419_ses-sess-220419d3_obj-m3sabc_icephys.nwb,PC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa220419,n112,sub-Mfa220419_ses-sess-220419d3_obj-jo3lr6_icephys.nwb,PC,PC_L5,#N/A,batch-5,#N/A,#N/A,#N/A,traced
Mfa220419,n113,sub-Mfa220419_ses-sess-220419d3_obj-1evlzh4_icephys.nwb,INTER,INTER_L5,0.7577,batch-5,44,Inh SST SLC30A3,0.55,traced
Mfa220419,n114,sub-Mfa220419_ses-sess-220419d3_obj-1ac45ir_icephys.nwb,INTER,INTER_L5,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa220419,n115,sub-Mfa220419_ses-sess-220419d3_obj-1xvceib_icephys.nwb,INTER,INTER_L5,#N/A,#N/A,#N/A,#N/A,#N/A,
Mfa220419,n117,sub-Mfa220419_ses-sess-220419d3_obj-1rhybxi_icephys.nwb,PC,PC_L5,0.8365,batch-5,6,Exc FEZF2 LTBP3,0.44,
