Subject,filename_original,rawFileName,cellType,Experiment
Mfa201126,20201126s4c8-70mV,sub-Mfa201126_ses-sess-201023126_obj-16olqir_icephys.nwb,PC,sEPSC
Mfa201126,20201126s2c4-70mV,sub-Mfa201126_ses-sess-201023126_obj-t0bi1r_icephys.nwb,PC,sEPSC
Mfa201126,20201126s1c2-70mV,sub-Mfa201126_ses-sess-201023126_obj-15e3e16_icephys.nwb,PC,sEPSC
Mfa201126,20201126s5c12-70mV,sub-Mfa201126_ses-sess-201023126_obj-1i9bc2s_icephys.nwb,PC,sEPSC
Mfa201126,20201126s1c2-70mV,sub-Mfa201126_ses-sess-201023126_obj-15e3e16_icephys.nwb,PC,sEPSC
Mfa201126,20201126s1c3-70mV,sub-Mfa201126_ses-sess-201023126_obj-jgrzuw_icephys.nwb,PC,sEPSC
Mfa201126,20201126s3c5-70mV,sub-Mfa201126_ses-sess-201023126_obj-1ap4tuj_icephys.nwb,PC,sEPSC
Mfa201126,20201126s4c10-70mV,sub-Mfa201126_ses-sess-201023126_obj-1n7bo55_icephys.nwb,PC,sEPSC
Mfa201023,20201023AS01C02-70mV,sub-Mfa201023_ses-sess-201023_obj-1eq93e8_icephys.nwb,PC,sEPSC
Mfa201023,20201023AS01C03-70mV,sub-Mfa201023_ses-sess-201023_obj-1igffau_icephys.nwb,PC,sEPSC
Mfa201023,20201023AS01C07-70mV,sub-Mfa201023_ses-sess-201023_obj-1h8uzvv_icephys.nwb,PC,sEPSC
Mfa201126,20201126s5c11b-70mV,sub-Mfa201126_ses-sess-201023126_obj-wn6cw2_icephys.nwb,VEN,sEPSC
Mfa201126,20201126s4c9-70mV,sub-Mfa201126_ses-sess-201023126_obj-1u56rnh_icephys.nwb,VEN,sEPSC
Mfa201126,20201126s4c7-70mV,sub-Mfa201126_ses-sess-201023126_obj-uvslhx_icephys.nwb,VEN,sEPSC
Mfa201030,20201030vens1c3-70mV,sub-Mfa201030_ses-sess-201030_obj-mhbl1b_icephys.nwb,VEN,sEPSC
Mfa201023,20201023AS01C01-70mV,sub-Mfa201023_ses-sess-201023_obj-1pa4y3o_icephys.nwb,VEN,sEPSC
Mfa201023,20201023AS01C04-70mV,sub-Mfa201023_ses-sess-201023_obj-b0ewiw_icephys.nwb,VEN,sEPSC
Mfa201023,20201023AS01C08-70mV,sub-Mfa201023_ses-sess-201023_obj-a8xj73_icephys.nwb,VEN,sEPSC
Mfa201023,20201023AS01C05-70mV,sub-Mfa201023_ses-sess-201023_obj-meypbx_icephys.nwb,VEN,sEPSC
Mfa201126,20201126s2c4+20mV,sub-Mfa201126_ses-sess-201126_obj-rlgjzz_icephys.nwb,PC,sIPSC
Mfa201126,20201126s5c12+20mV,sub-Mfa201126_ses-sess-201126_obj-w9b4ds_icephys.nwb,PC,sIPSC
Mfa201126,20201126s5c11a+20mV,sub-Mfa201126_ses-sess-201126_obj-1s3ysck_icephys.nwb,PC,sIPSC
Mfa201126,20201126s1c2+20mV,sub-Mfa201126_ses-sess-201126_obj-1tsbdsc_icephys.nwb,PC,sIPSC
Mfa201126,20201126s1c3+20mV,sub-Mfa201126_ses-sess-201126_obj-12i0fre_icephys.nwb,PC,sIPSC
Mfa201126,20201126s3c6+20mV,sub-Mfa201126_ses-sess-201126_obj-838ym4_icephys.nwb,PC,sIPSC
Mfa201126,20201126s4c10+20mV,sub-Mfa201126_ses-sess-201126_obj-11eyh5v_icephys.nwb,PC,sIPSC
Mfa201030,20201030vs7c18+20mV,sub-Mfa201030_ses-sess-201030_obj-n29ivo_icephys.nwb,PC,sIPSC
