Subject,cell_ID,fileName_nwb,cellType,cellType_id,max_Na_current
Mfa221206,20221206AS1c1,sub-Mfa-221206_ses-sess-221206AS_obj-o5c1ca_icephys.nwb,VEN,2,-13.8366
Mfa221206,20221206AS1c2,sub-Mfa-221206_ses-sess-221206AS_obj-1hze3nr_icephys.nwb,PC,1,-31.588
Mfa221206,20221206AS2c4,sub-Mfa-221206_ses-sess-221206AS_obj-155xyap_icephys.nwb,PC,1,-19.258
Mfa221206,20221206AS2c5,sub-Mfa-221206_ses-sess-221206AS_obj-1mpyhuf_icephys.nwb,VEN,2,-36.8301
Mfa221206,20221206AS2c6,sub-Mfa-221206_ses-sess-221206AS_obj-17h3xyf_icephys.nwb,VEN,2,-22.4144
Mfa221206,20221206AS2c7,sub-Mfa-221206_ses-sess-221206AS_obj-w5maeh_icephys.nwb,PC,1,-17.2229
Mfa221206,20221206AS3c9,sub-Mfa-221206_ses-sess-221206AS_obj-14kgrex_icephys.nwb,VEN,2,-7.6592
Mfa221206,20221206AS3c10,sub-Mfa-221206_ses-sess-221206AS_obj-xjy9zs_icephys.nwb,PC,1,-29.3413
Mfa221206,20221206AS3c11,sub-Mfa-221206_ses-sess-221206AS_obj-1tbfvx1_icephys.nwb,VEN,2,-17.5495
Mfa221206,20221206AS4c14,sub-Mfa-221206_ses-sess-221206AS_obj-18grn52_icephys.nwb,VEN,2,-15.4863
Mfa221206,20221206AS5c16,sub-Mfa-221206_ses-sess-221206AS_obj-r9kq44_icephys.nwb,PC,1,-40.0531
Mfa221206,20221206AS5c17,sub-Mfa-221206_ses-sess-221206AS_obj-1dtq5gg_icephys.nwb,VEN,2,-26.2706
Mfa221206,20221206AS5c19,sub-Mfa-221206_ses-sess-221206AS_obj-10rlo0z_icephys.nwb,PC,1,-32.5183
Mfa221206,20221206AS5c20,sub-Mfa-221206_ses-sess-221206AS_obj-tq58al_icephys.nwb,PC,1,-20.9496
Mfa221206,20221206AS5c22,sub-Mfa-221206_ses-sess-221206AS_obj-yhmune_icephys.nwb,PC,1,-34.9071
Mfa221206,20221206AS5c23,sub-Mfa-221206_ses-sess-221206AS_obj-1d8cqve_icephys.nwb,PC,1,-28.9275
Mfa221206,20221206AS5c24,sub-Mfa-221206_ses-sess-221206AS_obj-182f7kb_icephys.nwb,PC,1,-18.1677
Mfa221206,20221206HS1c2,sub-Mfa-221206_ses-sess-221206HS_obj-1hdj9io_icephys.nwb,PC,1,-28.5889
Mfa221206,20221206HS1c3,sub-Mfa-221206_ses-sess-221206HS_obj-1m86n5_icephys.nwb,PC,1,-28.3038
Mfa221206,20221206HS1c4,sub-Mfa-221206_ses-sess-221206HS_obj-jbicqk_icephys.nwb,PC,1,-13.6904
Mfa221206,20221206HS1c6,sub-Mfa-221206_ses-sess-221206HS_obj-406lwf_icephys.nwb,VEN,2,-10.6387
Mfa221206,20221206HS1c8,sub-Mfa-221206_ses-sess-221206HS_obj-12n6bj2_icephys.nwb,PC,1,-42.9616
Mfa221206,20221206HS1c9,sub-Mfa-221206_ses-sess-221206HS_obj-k6mepx_icephys.nwb,PC,1,-38.857
Mfa221206,20221206HS1c10,sub-Mfa-221206_ses-sess-221206HS_obj-xcpo2b_icephys.nwb,PC,1,-12.0423
Mfa221206,20221206HS1c11,sub-Mfa-221206_ses-sess-221206HS_obj-93pwgg_icephys.nwb,PC,1,-31.8539
Mfa221206,20221206HS1c12,sub-Mfa-221206_ses-sess-221206HS_obj-14nb7lg_icephys.nwb,PC,1,-44.3001
Mfa221206,20221206HS1c14,sub-Mfa-221206_ses-sess-221206HS_obj-1w64zn_icephys.nwb,VEN,2,-14.2648
Mfa221206,20221206HS1c16,sub-Mfa-221206_ses-sess-221206HS_obj-1na2n9x_icephys.nwb,VEN,2,-12.3871
Mfa221206,20221206HS1c17,sub-Mfa-221206_ses-sess-221206HS_obj-1hd5igg_icephys.nwb,VEN,2,-20.5761
Mfa221206,20221206HS1c18,sub-Mfa-221206_ses-sess-221206HS_obj-1fus1iv_icephys.nwb,VEN,2,-19.3831
Mfa221206,20221206HS1c19,sub-Mfa-221206_ses-sess-221206HS_obj-1pjbu7s_icephys.nwb,PC,1,-31.6617
Mfa221206,20221206HS1c20,sub-Mfa-221206_ses-sess-221206HS_obj-gk29ja_icephys.nwb,PC,1,-31.4809
Mfa221206,20221206HS1c22,sub-Mfa-221206_ses-sess-221206HS_obj-1vqgzg9_icephys.nwb,VEN,2,-8.7909
Mfa221206,20221206HS1c23,sub-Mfa-221206_ses-sess-221206HS_obj-5ueuaq_icephys.nwb,VEN,2,-7.3235
Mfa221206,20221206HS1c25,sub-Mfa-221206_ses-sess-221206HS_obj-6hfvu1_icephys.nwb,PC,1,-27.0085
