Unnamed: 0,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,clusterLabel
B112,0.03764533,6.866316,7.502925,3.878307,3.8629158,3
B15,0.6087573,7.2138214,7.7082896,4.3474326,3.477927,3
B154,1.6648232,6.7804413,7.299504,4.7389574,4.4728093,3
B224,0.51854306,7.8259425,7.61343,4.9534745,3.1327147,3
B55,0.31363717,7.119932,7.7519646,4.1313405,3.6030567,3
B553,8.2184305,8.841251,9.081253,2.8028514,7.23115,5
B555,2.476528,6.1528034,7.12845,4.839058,5.092839,1
B557,2.373752,1.640918,7.7874937,4.6043997,7.688697,2
B561,2.4188364,6.115477,7.263593,4.8694615,5.199593,1
B563,0.015075148,6.9597225,7.5932937,3.92011,3.7514033,3
B566,-0.39253455,3.8811555,6.8584175,3.2523463,5.9060297,1
B569,8.085341,8.655985,9.051079,2.8565516,7.097785,1
B570,1.4532788,6.1528907,7.480844,4.327706,5.096047,1
B721,8.327877,8.532696,8.959365,3.0965126,7.194261,5
B723,2.0682073,5.346932,7.5256276,4.4302807,5.5729136,1
B725,2.3822205,1.6885093,7.8251386,4.5632257,7.6480536,2
B735,2.6961806,4.8176823,7.683127,4.638944,6.02041,2
n10,0.33386564,7.544193,7.526521,4.591432,3.1940022,3
n105,2.4657717,5.500354,7.673995,4.6224627,5.6455398,1
n112,2.4505672,1.8483063,7.9182243,4.420216,7.4999065,1
n12,0.1522234,6.6136603,7.543812,3.7627916,4.1803007,1
n120,1.6258194,6.8203497,7.2830424,4.738294,4.4329967,4
n122,2.4082115,5.5333014,7.522745,4.6106997,5.463658,1
n126,0.68333167,6.265498,7.608062,3.8319335,4.6160493,1
n143,8.026331,8.7543955,9.102437,2.6965747,7.0442076,6
n144,-1.8373758,4.971784,6.390011,2.2234402,4.828436,0
n145,0.37657487,7.74942,7.6230845,4.815176,3.128148,4
n146,-1.2886107,3.935018,6.67278,2.7461734,5.480697,4
n147,2.2042735,2.1431897,7.7921815,4.2883773,7.3817534,1
n149,2.8365288,5.597312,7.303014,5.2968817,5.8666687,1
n15,2.411146,1.9212393,7.936661,4.384261,7.4806323,2
n151,1.229823,6.1883945,7.493498,4.174055,5.0171776,1
n154,2.872943,5.916129,7.4719095,4.9642305,5.615155,6
n155,8.660029,8.882092,8.713355,2.6063511,7.724465,6
n159,0.29799628,7.414773,7.5363727,4.500541,3.4132292,4
n169,0.13965796,7.2087693,7.4379807,4.2912846,3.5099523,3
n171,-0.12839562,7.195705,7.39048,4.223798,3.5434365,3
n173,-2.0592504,5.2593546,6.3934274,2.0694852,4.570092,0
n176,8.695008,8.004076,9.181009,2.9083333,7.132302,6
n179,8.374299,8.505723,8.925438,3.1006806,7.2449875,6
n180,1.4757029,6.8702116,7.3427987,4.6588593,4.3037243,4
n182,0.51956815,7.453664,7.7224674,4.537132,3.2188787,3
n19,2.4851727,5.1656675,7.697881,4.5821557,5.900868,1
n190,2.2310834,2.2112057,7.820734,4.398435,7.4261503,2
n192,-0.95742244,4.044723,6.683116,2.9067574,5.573099,0
n193,-1.8809584,5.316718,6.4790044,2.2142942,4.5822754,0
n196,-1.1686003,4.304956,6.663771,2.7955565,5.319971,1
n197,-1.4887252,5.404665,6.665336,2.546016,4.6001296,0
n198,-1.2049786,4.6199946,6.720749,2.7418044,5.0676904,1
n200,-1.2894689,4.6340675,6.5562315,2.53212,5.194635,0
n201,8.335809,8.847162,8.9558,2.6051702,7.4408216,6
n202,-0.887438,4.114522,6.7211857,2.9405804,5.5510454,0
n209,1.7009058,5.175487,7.400714,4.1963263,5.6596184,1
n23,-1.9873489,5.08144,6.482456,2.0823386,4.737899,0
n25,0.7554648,6.7434773,7.3412466,4.40932,4.408998,1
n26,-0.6917213,3.9091442,6.7480073,3.0722866,5.772131,0
n30,0.5973805,7.861457,7.5636587,5.036898,3.1920483,4
n34,0.12580393,7.628966,7.311734,4.7420826,3.163404,4
