No,Time,Signal,Current
0,0.04,1443,26.34
1,0.08,1427,27.03
2,0.12,1421,27.63
3,0.16,1454,28.2
4,0.2,1453,28.69
5,0.24,1424,29.17
6,0.28,1441,29.62
7,0.32,1454,29.98
8,0.36,1447,30.37
9,0.4,1426,30.71
10,0.44,1449,31
11,0.48,1437,31.28
12,0.52,1447,31.57
13,0.56,1428,31.83
14,0.6,1452,32.07
15,0.64,1441,32.3
16,0.68,1430,32.5
17,0.72,1462,32.7
18,0.76,1441,32.94
19,0.8,1418,33.13
20,0.84,1453,33.31
21,0.88,1453,33.49
22,0.92,1447,33.62
23,0.96,1441,33.78
24,1,1425,33.94
25,1.04,1419,34.1
26,1.08,1439,34.25
27,1.12,1419,34.39
28,1.16,1465,34.52
29,1.2,1427,34.66
30,1.24,1446,34.79
31,1.28,1438,34.92
32,1.32,1420,35.05
33,1.36,1432,35.17
34,1.4,1464,35.28
35,1.44,1420,35.41
36,1.48,1424,35.54
37,1.52,1435,35.64
38,1.56,1432,35.73
39,1.6,1418,35.87
40,1.64,1432,35.98
41,1.68,1464,36.03
42,1.72,1449,36.13
43,1.76,1424,36.19
44,1.8,1446,36.33
45,1.84,1422,36.38
46,1.88,1433,36.49
47,1.92,1461,36.57
48,1.96,1424,36.65
49,2,1449,36.75
50,2.04,1418,36.81
51,2.08,1447,36.89
52,2.12,1454,36.96
53,2.16,1421,37.01
54,2.2,1424,37.12
55,2.24,1430,37.12
56,2.28,1420,37.24
57,2.32,1427,37.27
58,2.36,1444,37.27
59,2.4,1433,37.37
60,2.44,1457,37.43
61,2.48,1441,37.43
62,2.52,1463,37.55
63,2.56,1463,37.59
64,2.6,1433,37.6
65,2.64,1464,37.71
66,2.68,1425,37.74
67,2.72,1430,37.75
68,2.76,1428,37.86
69,2.8,1438,37.9
70,2.84,1454,37.9
71,2.88,1451,37.98
72,2.92,1419,38.05
73,2.96,1431,38.05
74,3,1417,38.09
75,3.04,1433,38.2
76,3.08,1442,38.21
77,3.12,1419,38.22
78,3.16,1429,38.31
79,3.2,1448,38.37
80,3.24,1419,38.37
81,3.28,1424,38.38
82,3.32,1436,38.49
83,3.36,1419,38.52
84,3.4,1440,38.52
85,3.44,1449,38.52
86,3.48,1418,38.54
87,3.52,1427,38.63
88,3.56,1421,38.68
89,3.6,1423,38.68
90,3.64,1418,38.68
91,3.68,1435,38.74
92,3.72,1453,38.83
93,3.76,1435,38.83
94,3.8,1439,38.83
95,3.84,1418,38.87
96,3.88,1432,38.96
97,3.92,1440,38.99
98,3.96,1431,38.99
99,4,1420,38.99
100,4.04,1419,39.04
101,4.08,1437,39.13
102,4.12,1421,39.14
103,4.16,1443,39.14
104,4.2,1429,39.15
105,4.24,1462,39.2
106,4.28,1455,39.29
107,4.32,1421,39.3
108,4.36,1425,39.3
109,4.4,1461,39.3
110,4.44,1456,39.33
111,4.48,1443,39.41
112,4.52,1432,39.45
113,4.56,1463,39.46
114,4.6,1425,39.46
115,4.64,1447,39.47
116,4.68,1456,39.52
117,4.72,1459,39.6
118,4.76,1429,39.61
119,4.8,1442,39.61
120,4.84,1431,39.61
121,4.88,1426,39.63
122,4.92,1460,39.69
123,4.96,1426,39.76
124,5,1435,39.77
125,5.04,1440,39.77
126,5.08,1423,39.77
127,5.12,1439,39.77
128,5.16,1429,39.78
129,5.2,1444,39.85
130,5.24,1444,39.9
131,5.28,1445,39.92
132,5.32,1454,39.92
133,5.36,1455,39.92
134,5.4,1439,39.93
135,5.44,1448,39.93
136,5.48,1435,39.98
137,5.52,1417,40.04
138,5.56,1450,40.08
139,5.6,1420,40.08
140,5.64,1424,40.08
141,5.68,1417,40.08
142,5.72,1457,40.09
143,5.76,1455,40.12
144,5.8,1438,40.17
145,5.84,1462,40.22
146,5.88,1459,40.24
147,5.92,1441,40.24
148,5.96,1431,40.24
149,6,1440,40.24
150,6.04,1433,40.24
