,0
0,ZBTB18
1,RYR2
2,GNG4
3,RGS4
4,PBX1
5,PRRC2C
6,RGS2
7,TNNT2
8,CHI3L1
9,ATP2B4
10,NENF
11,OLFML2B
12,PCP4L1
13,PEA15
14,TAGLN2
15,ENSMFAG00000003238
16,ENSMFAG00000036388
17,ENSMFAG00000042455
18,S100A10
19,LAMTOR5
20,GSTM3
21,GSTM5
22,ENSMFAG00000020465
23,PLPPR4
24,BTBD8
25,SSX2IP
26,TTLL7
27,ZRANB2
28,ELAVL4
29,ENSMFAG00000003416
30,PTPRF
31,ENSMFAG00000036770
32,HPCA
33,MARCKSL1
34,FABP3
35,SDC3
36,CD52
37,RPL11
38,RAP1GAP
39,ATP13A2
40,CHD5
41,GABRD
42,OSTN
43,THRB
44,SATB1
45,PLCH1
46,IQCJ-SCHIP1
47,SERPINI1
48,ENSMFAG00000045720
49,CTNNB1
50,CCK
51,ENSMFAG00000031095
52,ENSMFAG00000030460
53,SPCS1
54,C3orf14
55,FEZF2
56,SYNPR
57,MDFIC2
58,FOXP1
59,CHL1
60,ATP2B2
61,RPL32
62,MYLK
63,GOLGB1
64,GAP43
65,TAGLN3
66,ALCAM
67,CSTB
68,PCP4
69,WRB
70,TTC3
71,ENSMFAG00000036539
72,NCAM2
73,TTYH3
74,NPTX2
75,ENSMFAG00000036062
76,LAMTOR4
77,AP1S1
78,ENSMFAG00000034356
79,SEC61G
80,ENSMFAG00000038380
81,CAMK2B
82,INHBA
83,NPY
84,ENSMFAG00000035836
85,TSPAN13
86,ETV1
87,ENSMFAG00000043193
88,TAC1
89,AKAP9
90,PCLO
91,CADPS2
92,EPHB6
93,TCAF1
94,RHEB
95,DPP6
96,ATP5ME
97,CPLX1
98,SPON2
99,C4orf48
100,RGS12
101,LRPAP1
102,NSG1
103,WDR1
104,BOD1L1
105,LIMCH1
106,ATP8A1
107,CCNI
108,PARM1
109,ENSMFAG00000042202
110,HOPX
111,SPARCL1
112,MEPE
113,H2AFZ
114,ENSMFAG00000034368
115,ANK2
116,CAMK2D
117,ENSMFAG00000001143
118,TMEM155
119,FREM3
120,RPS3A
121,RXFP1
122,MSMO1
123,TENM3
124,SORBS2
125,RPL37
126,PIK3R1
127,CARTPT
128,ENSMFAG00000000594
129,ENC1
130,CRHBP
131,RASGRF2
132,ENSMFAG00000035190
133,NR2F1
134,PCSK1
135,PAM
136,ENSMFAG00000036310
137,SPOCK1
138,EGR1
139,PCDHGA4
140,DPYSL3
141,ENSMFAG00000039531
142,ANXA6
143,SPARC
144,GRIA1
145,GABRB2
146,GABRA1
147,GABRG2
148,SLIT3
149,GABRA5
150,NOP10
151,MEIS2
152,RASGRP1
153,ITPKA
154,MAP1A
155,ENSMFAG00000027932
156,SCG3
157,ENSMFAG00000014721
158,MYO5A
159,ARPP19
160,ANXA2
161,TLN2
162,TPM1
163,MAP2K1
164,CPLX3
165,RPS17
166,SV2B
167,NR2F2
168,RPS29
169,ACTN1
170,SIPA1L1
171,FOS
172,NGB
173,CHGA
174,IFI27L2
175,C14orf132
176,CYP46A1
177,DYNC1H1
178,ENSMFAG00000045832
179,NUDT14
180,CRIP2
181,SNX3
182,MARCKS
183,SLC35F1
184,RSPO3
185,CTGF
186,ENSMFAG00000042652
187,HIVEP2
188,STXBP5
189,ENSMFAG00000007166
190,ENSMFAG00000040746
191,SYNE1
192,ENSMFAG00000037584
193,PNISR
194,ENSMFAG00000046193
195,B3GAT2
196,DST
197,RCAN2
198,MEA1
199,CPNE5
200,ENSMFAG00000032199
201,GABBR1
202,RIPOR2
203,NRSN1
204,NRN1
205,TUBB2B
206,ENSMFAG00000001506
207,ENSMFAG00000037878
208,BEX3
209,ENSMFAG00000036866
210,PSD3
211,NEFM
212,NEFL
213,ADRA1A
214,PTK2B
215,SARAF
216,NSD3
217,OPRK1
218,RPS20
219,PENK
220,VXN
221,SULF1
222,RPL7
223,STMN2
224,ENSMFAG00000043424
225,CALB1
226,NECAB1
227,ENSMFAG00000041816
228,NCALD
229,SYBU
230,MAL2
231,KHDRBS3
232,ADGRB1
233,LY6E
234,ENSMFAG00000040946
235,ENSMFAG00000032800
236,C12orf57
237,MGP
238,LMO3
239,SOX5
240,SLC2A13
241,DDN
242,FAIM2
243,GRASP
244,PPP1R1A
245,CD63
246,ENSMFAG00000041709
247,RPL41
248,ENSMFAG00000033843
249,NXPH4
250,ATXN7L3B
251,PPP1R12A
252,PPFIA2
253,DUSP6
254,SLC17A8
255,NUAK1
256,RPLP0
257,DYNLL1
258,ENSMFAG00000031052
259,CAMKK2
260,UBC
261,C1QL3
262,ARHGAP21
263,ADIRF
264,SNCG
265,PLAC9
266,CAMK2G
267,FAM241B
268,ANK3
269,PHYHIPL
270,RBP4
271,SLIT1
272,CRTAC1
273,ENSMFAG00000040760
274,DPCD
275,ATP5MD
276,SHTN1
277,INPP5F
278,PLEKHA1
279,CALY
280,FUOM
281,PLEKHB2
282,LYPD1
283,R3HDM1
284,NXPH2
285,ZEB2
286,NR4A2
287,GPR155
288,TTN
289,PDE1A
290,ZNF804A
291,MYO1B
292,SLC39A10
293,ENSMFAG00000045023
294,SATB2
295,UNC80
296,XRCC5
297,ENSMFAG00000043631
298,IGFBP2
299,IGFBP5
300,ARPC2
301,PTPRN
302,EPHA4
303,ACSL3
304,SERPINE2
305,SPHKAP
306,NPPC
307,NGEF
308,RAMP1
309,ENSMFAG00000000784
310,KIF1A
311,GAL
312,ENSMFAG00000036580
313,GSTP1
314,NPAS4
315,CST6
316,CCDC85B
317,ENSMFAG00000044258
318,GNG3
319,ENSMFAG00000035478
320,SYT7
321,RTN4RL2
322,C1QTNF4
323,CELF1
324,DGKZ
325,SYT13
326,TRIM44
327,BDNF
328,RPS13
329,DKK3
330,RPL27A
331,PDE2A
332,PGM2L1
333,SPCS2
334,ENSMFAG00000000525
335,ENSMFAG00000032887
336,MMP3
337,CRYAB
338,ENSMFAG00000044385
339,CADM1
340,RPS25
341,SORL1
342,HSPA8
343,NRGN
344,ARHGAP32
345,APLP2
346,B3GAT1
347,NSMF
348,TUBB4B
349,GRIN1
350,PTGDS
351,FAM163B
352,NTNG2
353,ENSMFAG00000030421
354,ENSMFAG00000044075
355,ENSMFAG00000003931
356,ENSMFAG00000001552
357,DCTN3
358,DNAJA1
359,ELAVL2
360,RPS6
361,SMARCA2
362,GDA
363,RORB
364,TLE4
365,GADD45G
