,patchCellSubtypeIDs,UMAP1,UMAP2,predictClusterID
s173,5,8.695310592651367,14.581460952758789,16
s174,5,8.655582427978516,14.616016387939453,16
s175,3,-4.273737907409668,12.986238479614258,18
s177,0,-3.9831438064575195,20.12915802001953,14
s210,8,19.441974639892578,-5.43235445022583,17
s211,5,8.744044303894043,14.604839324951172,16
s212,3,-4.434691429138184,19.725128173828125,14
s213,0,-5.328574180603027,19.80662727355957,14
s214,0,-4.905239105224609,19.86425018310547,14
s218,3,-5.370270252227783,12.83755874633789,18
s219,0,-5.911526203155518,12.948116302490234,18
s221,0,-4.514331817626953,19.363027572631836,14
s222,3,-7.352485179901123,17.157241821289062,6
s225,3,-5.629778861999512,12.948116302490234,18
s227,2,-4.905239105224609,19.86425018310547,14
s418,0,-4.434691429138184,19.85675621032715,14
s419,3,-7.858872413635254,16.893505096435547,6
s421,3,-8.729799270629883,18.30048370361328,6
s422,2,-4.316313743591309,1.433058500289917,5
s423,0,-5.147512912750244,19.773975372314453,14
s425,3,-5.257275581359863,11.493921279907227,18
s426,3,-5.012060642242432,19.794315338134766,14
s427,5,8.744044303894043,14.604839324951172,16
s428,5,8.695310592651367,14.604839324951172,16
s443,3,3.264582633972168,11.650564193725586,3
s444,3,-5.717329978942871,12.670364379882812,18
s445,0,-5.345218181610107,19.956750869750977,14
s461,3,-5.158205032348633,12.979168891906738,18
s463,3,-4.838172912597656,19.75495719909668,14
s464,0,-8.75515079498291,18.363801956176758,6
s465,3,-4.8161773681640625,13.044995307922363,18
s467,0,-4.838172912597656,19.833711624145508,14
s468,3,-8.102869987487793,17.649076461791992,6
s470,3,-5.352081298828125,19.873069763183594,14
s471,6,18.138797760009766,1.3927509784698486,8
s472,3,-7.984356880187988,16.88201904296875,6
s473,3,-5.012060642242432,19.808948516845703,14
s476,5,8.744044303894043,14.581460952758789,16
s478,0,-4.925891876220703,19.725128173828125,14
s481,3,3.85206937789917,11.734395980834961,3
s484,3,-3.552346706390381,19.387916564941406,14
s485,4,8.635250091552734,14.519672393798828,16
s486,4,8.655582427978516,14.616016387939453,16
s487,3,-5.352081298828125,20.163307189941406,14
s492,0,-5.13539981842041,19.781864166259766,14
s493,3,-5.328574180603027,19.845985412597656,14
s494,3,-7.858872413635254,15.211545944213867,6
s495,6,17.43759536743164,1.3485825061798096,8
s496,8,5.658763885498047,22.806394577026367,4
s497,8,19.550628662109375,-5.43235445022583,17
s498,0,-5.30126953125,0.48991966247558594,5
s499,3,-4.624479293823242,19.722305297851562,14
s500,0,-4.763120651245117,19.808948516845703,14
s501,3,-4.850839614868164,19.781864166259766,14
