,patchCellTypeIDs,patchCellSubtypeIDs,patchCellSubtypeNames,mappingRates,predictClustersIDs,mainClusterCorrs
s173,2,4,VEN_Long,0.8957,16,0.53
s174,2,4,VEN_Long,0.7971,16,1
s175,1,3,PC_L5,0.8867,18,0.92
s177,-1,0,,0.8785,14,0.93
s210,1,7,PC_L6,0.7865,17,1
s211,2,6,VEN,0.8871,16,1
s212,1,3,PC_L5,0.8337,14,0.91
s213,-1,0,,0.8561,14,0.6
s214,-1,0,,0.7926,14,1
s218,1,3,PC_L5,0.7735,18,0.93
s219,-1,0,,0.8436,18,0.7
s221,-1,0,,0.8305,14,0.99
s222,1,3,PC_L5,0.7375,6,0.57
s225,1,3,PC_L5,0.8653,18,0.66
s227,1,2,PC_L23,0.8766,14,1
s418,-1,0,,0.8652,14,0.96
s419,1,3,PC_L5,0.8928,6,0.51
s421,1,3,PC_L5,0.8616,6,0.52
s422,1,2,PC_L23,0.8441,5,0.43
s423,-1,0,,0.8974,14,0.64
s425,1,3,PC_L5,0.7821,18,1
s426,1,3,PC_L5,0.8485,14,0.86
s427,2,4,VEN_Long,0.6997,16,0.9
s428,2,6,VEN,0.8569,16,1
s443,1,3,PC_L5,0.8357,3,0.94
s444,1,3,PC_L5,0.7838,18,0.87
s445,-1,0,,0.8707,14,0.61
s461,1,3,PC_L5,0.888,18,0.94
s463,1,3,PC_L5,0.8792,14,0.37
s464,-1,0,,0.8207,6,0.69
s465,1,3,PC_L5,0.758,18,0.57
s467,-1,0,,0.8127,14,0.66
s468,1,3,PC_L5,0.837,6,0.92
s470,1,3,PC_L5,0.8277,14,0.33
s471,2,4,VEN_Long,0.8049,8,1
s472,1,3,PC_L5,0.6277,6,0.51
s473,2,4,VEN_Long,0.8835,14,0.73
s476,2,4,VEN_Long,0.9206,16,0.68
s478,-1,0,,0.8501,14,0.5
s481,1,3,PC_L5,0.8581,3,0.35
s484,1,3,PC_L5,0.9185,14,0.4
s485,1,3,PC_L5,0.9195,16,0.5
s486,-1,0,,0.7224,16,0.39
s487,1,3,PC_L5,0.8699,14,0.39
s492,-1,0,,0.8804,14,0.56
s493,1,3,PC_L5,0.8527,14,0.45
s494,1,3,PC_L5,0.9161,6,0.48
s495,2,4,VEN_Long,0.8451,8,0.46
s496,1,7,PC_L6,0.8377,4,1
s497,1,7,PC_L6,0.7789,17,1
s498,-1,0,,0.8845,5,0.98
s499,1,3,PC_L5,0.6778,14,0.36
s500,-1,0,,0.7911,14,0.46
s501,1,3,PC_L5,0.6315,14,0.94
s503,-1,0,,0.7029,5,0.3
s506,1,3,PC_L5,0.7029,18,0.96
s508,1,3,PC_L5,0.5703,14,0.54
s509,-1,0,,0.667,6,0.61
s515,1,3,PC_L5,0.8671,6,0.8
s516,1,3,PC_L5,0.8501,9,0.71
s532,1,7,PC_L6,0.8425,4,1
s533,1,3,PC_L5,0.8633,11,0.98
s534,1,3,PC_L5,0.8378,14,0.78
s535,1,3,PC_L5,0.8187,2,0.35
s536,1,3,PC_L5,0.7681,3,0.55
s538,2,4,VEN_Long,0.6219,8,0.5
s539,1,3,PC_L5,0.7665,5,0.99
s542,-1,0,,0.5703,18,0.82
s543,1,3,PC_L5,0.8674,6,0.34
s544,1,2,PC_L23,0.8793,5,0.98
s546,-1,0,,0.8695,5,0.93
s547,-1,0,,0.8475,2,0.41
s548,-1,0,,0.8386,18,0.81
s551,1,3,PC_L5,0.7564,18,1
s552,1,3,PC_L5,0.4884,2,0.99
s553,1,3,PC_L5,0.7851,6,0.65
s554,-1,0,,0.6828,5,0.6
s586,1,3,PC_L5,0.8367,14,0.57
s587,2,4,VEN_Long,0.8503,16,1
s588,-1,0,,0.8293,6,0.4
s589,-1,0,,0.8174,14,0.66
s591,1,3,PC_L5,0.642,14,0.78
s592,-1,0,,0.6384,5,0.59
s596,1,3,PC_L5,0.5757,14,1
s597,1,3,PC_L5,0.6995,14,0.94
