Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Crab-eating macaque gene stable ID,Crab-eating macaque gene name,Gene name
ENSG00000198888,ENSG00000198888.2,ENST00000361390,ENST00000361390.2,ENSMFAG00000016729,,MT-ND1
ENSG00000198888,ENSG00000198888.2,ENST00000361390,ENST00000361390.2,ENSMFAG00000033580,,MT-ND1
ENSG00000198888,ENSG00000198888.2,ENST00000361390,ENST00000361390.2,ENSMFAG00000046415,ND1,MT-ND1
ENSG00000198763,ENSG00000198763.3,ENST00000361453,ENST00000361453.3,ENSMFAG00000046416,ND2,MT-ND2
ENSG00000198804,ENSG00000198804.2,ENST00000361624,ENST00000361624.2,ENSMFAG00000046417,COX1,MT-CO1
ENSG00000198712,ENSG00000198712.1,ENST00000361739,ENST00000361739.1,ENSMFAG00000046418,COX2,MT-CO2
ENSG00000228253,ENSG00000228253.1,ENST00000361851,ENST00000361851.1,ENSMFAG00000046419,ATP8,MT-ATP8
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899.2,ENSMFAG00000022270,,MT-ATP6
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899.2,ENSMFAG00000046420,ATP6,MT-ATP6
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899.2,ENSMFAG00000020465,,MT-ATP6
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899.2,ENSMFAG00000030712,,MT-ATP6
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899.2,ENSMFAG00000013152,,MT-ATP6
ENSG00000198938,ENSG00000198938.2,ENST00000362079,ENST00000362079.2,ENSMFAG00000046421,COX3,MT-CO3
ENSG00000198840,ENSG00000198840.2,ENST00000361227,ENST00000361227.2,ENSMFAG00000046422,ND3,MT-ND3
ENSG00000212907,ENSG00000212907.2,ENST00000361335,ENST00000361335.1,ENSMFAG00000046423,ND4L,MT-ND4L
ENSG00000198886,ENSG00000198886.2,ENST00000361381,ENST00000361381.2,ENSMFAG00000046424,ND4,MT-ND4
ENSG00000198786,ENSG00000198786.2,ENST00000361567,ENST00000361567.2,ENSMFAG00000046425,ND5,MT-ND5
ENSG00000198695,ENSG00000198695.2,ENST00000361681,ENST00000361681.2,ENSMFAG00000046426,ND6,MT-ND6
